feature,mean_abs_shap,rank,modality
disease_duration_years,1.5965,1,Clinical
total_asymmetry,0.4408,2,Clinical
MDSUPDRS_2-12,0.3739,3,Clinical
subdomain_bradykinesia_UE,0.3572,4,Clinical
asymmetry_hand_movements,0.3546,5,Clinical
MDSUPDRS_2-11,0.3492,6,Clinical
age,0.3280,7,Clinical
MDSUPDRS_3-18,0.3242,8,Clinical
MDSUPDRS_1-1,0.3139,9,Clinical
bmi,0.2562,10,Clinical
all_perm_entropy_gyro,0.6096,1,Wearable
action_tremor_action_ratio,0.5543,2,Wearable
all_perm_entropy_acc_var,0.4505,3,Wearable
all_tremor_action_ratio,0.4379,4,Wearable
all_perm_entropy_gyro_var,0.4066,5,Wearable
rest_dom_freq_acc,0.3821,6,Wearable
all_rom_AccZ_var,0.3341,7,Wearable
rest_dom_freq_gyro,0.3136,8,Wearable
action_perm_entropy_gyro,0.2366,9,Wearable
action_dom_freq_gyro,0.2281,10,Wearable
UPDRSM,1.3571,1,Gait
UPDRS,1.3482,2,Gait
TUAG,0.4207,3,Gait
Weight,0.3480,4,Gait
HoehnYahr,0.3425,5,Gait
stride_entropy_R,0.2937,6,Gait
stride_entropy_L,0.2870,7,Gait
fog_index_total,0.2096,8,Gait
peak_force_cv_L,0.2064,9,Gait
stride_time_R_mean,0.2000,10,Gait
