feature,mean_abs_shap,rank
disease_duration_years,1.5964774,1
total_asymmetry,0.44079366,2
MDSUPDRS_2-12,0.3739186,3
subdomain_bradykinesia_UE,0.35715833,4
asymmetry_hand_movements,0.3546265,5
MDSUPDRS_2-11,0.34921673,6
age,0.3279978,7
MDSUPDRS_3-18,0.32419202,8
MDSUPDRS_1-1,0.3138855,9
bmi,0.25622252,10
asymmetry_finger_tapping,0.24424943,11
MDSUPDRS_3-9,0.22157703,12
MDSUPDRS_3-3-LLE,0.21999297,13
MDSUPDRS_2-7,0.18762459,14
subdomain_bradykinesia_LE,0.17637968,15
MDSUPDRS_3-5-R,0.1650036,16
MDSUPDRS_3-4-R,0.15294734,17
MDSUPDRS_3-3-LUE,0.15237285,18
MDSUPDRS_3-8-R,0.14897789,19
MDSUPDRS_3-3-RUE,0.14843446,20
MDSUPDRS_1-4,0.14801802,21
subdomain_gait_posture,0.14002533,22
asymmetry_pronation_sup,0.13702972,23
weight_kg,0.12231518,24
MDSUPDRS_3-8-L,0.114504024,25
subdomain_rigidity,0.11235677,26
MDSUPDRS_3-5-L,0.107472084,27
MDSUPDRS_1-8,0.10663617,28
MDSUPDRS_3-3-Neck,0.10505711,29
MDSUPDRS_2-6,0.09232885,30
MDSUPDRS_2-10,0.09027069,31
updrs_part2_total,0.0860834,32
asymmetry_kinetic_tremor,0.08078735,33
MDSUPDRS_1-13,0.07887023,34
MDSUPDRS_1-7,0.07372856,35
MDSUPDRS_2-2,0.062255483,36
asymmetry_toe_tapping,0.059334483,37
MDSUPDRS_3-17-LUE,0.053382885,38
MDSUPDRS_2-1,0.051830553,39
height_in,0.05055382,40
asymmetry_postural_tremor,0.050283294,41
MDSUPDRS_3-3-RLE,0.04712637,42
MDSUPDRS_3-16-L,0.046114903,43
MDSUPDRS_3-2,0.045902845,44
updrs_total,0.045723632,45
MDSUPDRS_2-9,0.04327716,46
MDSUPDRS_2-3,0.041221302,47
MDSUPDRS_3-6-R,0.040124655,48
hoehn_yahr,0.040016737,49
updrs_part4_total,0.038610324,50
MDSUPDRS_3-14,0.033927526,51
updrs_part3_total,0.032621257,52
MDSUPDRS_1-12,0.030304661,53
MDSUPDRS_3-12,0.026628105,54
MDSUPDRS_1-9,0.024563381,55
subdomain_tremor,0.023269026,56
MDSUPDRS_1-5,0.022504319,57
MDSUPDRS_3-6-L,0.019975638,58
MDSUPDRS_3-7-R,0.01745186,59
MDSUPDRS_3-11,0.015869243,60
MDSUPDRS_3-17-RUE,0.01582821,61
MDSUPDRS_2-4,0.015442363,62
MDSUPDRS_3-16-R,0.014010419,63
MDSUPDRS_3-4-L,0.013463254,64
MDSUPDRS_3-10,0.013368285,65
MDSUPDRS_2-5,0.013249993,66
MDSUPDRS_2-8,0.013088784,67
MDSUPDRS_1-11,0.012377721,68
MDSUPDRS_3-13,0.01015409,69
sex,0.009590687,70
updrs_part1_total,0.006970088,71
asymmetry_leg_agility,0.006636504,72
MDSUPDRS_1-10,0.0,73
MDSUPDRS_1-3,0.0,74
MDSUPDRS_1-2,0.0,75
MDSUPDRS_1-6,0.0,76
MDSUPDRS_3-1,0.0,77
MDSUPDRS_2-13,0.0,78
MDSUPDRS_3-7-L,0.0,79
MDSUPDRS_3-15-R,0.0,80
MDSUPDRS_3-17-LLE,0.0,81
MDSUPDRS_3-17-RLE,0.0,82
MDSUPDRS_3-15-L,0.0,83
subdomain_facial_expression,0.0,84
MDSUPDRS_4-3,0.0,85
MDSUPDRS_4-4,0.0,86
MDSUPDRS_4-5,0.0,87
MDSUPDRS_4-6,0.0,88
MDSUPDRS_3-17-LipJaw,0.0,89
subdomain_speech,0.0,90
MDSUPDRS_4-1,0.0,91
MDSUPDRS_4-2,0.0,92
asymmetry_rigidity_UE,0.0,93
asymmetry_rigidity_LE,0.0,94
asymmetry_rest_tremor_UE,0.0,95
asymmetry_rest_tremor_LE,0.0,96
